  I,RNGOFFSET(I) =   1  0.
  I,IOFFSET(I) =   1  0
  I,JOFFSET(I) =   1  0
  I,KOFFSET(I) =   1  0
  I,RNGOFFSET(I) =   2    1.00000
  I,IOFFSET(I) =   2  1
  I,JOFFSET(I) =   2  0
  I,KOFFSET(I) =   2  0
  I,RNGOFFSET(I) =   3    1.00000
  I,IOFFSET(I) =   3  0
  I,JOFFSET(I) =   3  0
  I,KOFFSET(I) =   3  1
  I,RNGOFFSET(I) =   4    1.00000
  I,IOFFSET(I) =   4  0
  I,JOFFSET(I) =   4  -1
  I,KOFFSET(I) =   4  0
  I,RNGOFFSET(I) =   5    1.00000
  I,IOFFSET(I) =   5  -1
  I,JOFFSET(I) =   5  0
  I,KOFFSET(I) =   5  0
  I,RNGOFFSET(I) =   6    1.00000
  I,IOFFSET(I) =   6  0
  I,JOFFSET(I) =   6  1
  I,KOFFSET(I) =   6  0
  I,RNGOFFSET(I) =   7    1.00000
  I,IOFFSET(I) =   7  0
  I,JOFFSET(I) =   7  0
  I,KOFFSET(I) =   7  -1
  I,RNGOFFSET(I) =   8    1.41421
  I,IOFFSET(I) =   8  1
  I,JOFFSET(I) =   8  -1
  I,KOFFSET(I) =   8  0
  I,RNGOFFSET(I) =   9    1.41421
  I,IOFFSET(I) =   9  -1
  I,JOFFSET(I) =   9  -1
  I,KOFFSET(I) =   9  0
  I,RNGOFFSET(I) =   10    1.41421
  I,IOFFSET(I) =   10  -1
  I,JOFFSET(I) =   10  0
  I,KOFFSET(I) =   10  -1
  I,RNGOFFSET(I) =   11    1.41421
  I,IOFFSET(I) =   11  0
  I,JOFFSET(I) =   11  1
  I,KOFFSET(I) =   11  1
  I,RNGOFFSET(I) =   12    1.41421
  I,IOFFSET(I) =   12  1
  I,JOFFSET(I) =   12  0
  I,KOFFSET(I) =   12  -1
  I,RNGOFFSET(I) =   13    1.41421
  I,IOFFSET(I) =   13  -1
  I,JOFFSET(I) =   13  0
  I,KOFFSET(I) =   13  1
  I,RNGOFFSET(I) =   14    1.41421
  I,IOFFSET(I) =   14  0
  I,JOFFSET(I) =   14  1
  I,KOFFSET(I) =   14  -1
  I,RNGOFFSET(I) =   15    1.41421
  I,IOFFSET(I) =   15  -1
  I,JOFFSET(I) =   15  1
  I,KOFFSET(I) =   15  0
  I,RNGOFFSET(I) =   16    1.41421
  I,IOFFSET(I) =   16  1
  I,JOFFSET(I) =   16  1
  I,KOFFSET(I) =   16  0
  I,RNGOFFSET(I) =   17    1.41421
  I,IOFFSET(I) =   17  1
  I,JOFFSET(I) =   17  0
  I,KOFFSET(I) =   17  1
  I,RNGOFFSET(I) =   18    1.41421
  I,IOFFSET(I) =   18  0
  I,JOFFSET(I) =   18  -1
  I,KOFFSET(I) =   18  1
  I,RNGOFFSET(I) =   19    1.41421
  I,IOFFSET(I) =   19  0
  I,JOFFSET(I) =   19  -1
  I,KOFFSET(I) =   19  -1
  I,RNGOFFSET(I) =   20    1.73205
  I,IOFFSET(I) =   20  -1
  I,JOFFSET(I) =   20  -1
  I,KOFFSET(I) =   20  1
  I,RNGOFFSET(I) =   21    1.73205
  I,IOFFSET(I) =   21  -1
  I,JOFFSET(I) =   21  1
  I,KOFFSET(I) =   21  1
  I,RNGOFFSET(I) =   22    1.73205
